1,Autauga County,Alabama,55514
2,Baldwin County,Alabama,190790
3,Barbour County,Alabama,27201
4,Bibb County,Alabama,22597
5,Blount County,Alabama,57826
6,Bullock County,Alabama,10474
7,Butler County,Alabama,20307
8,Calhoun County,Alabama,117296
9,Chambers County,Alabama,34064
10,Cherokee County,Alabama,26021
11,Chilton County,Alabama,43819
12,Choctaw County,Alabama,13633
13,Clarke County,Alabama,25161
14,Clay County,Alabama,13435
15,Cleburne County,Alabama,14832
16,Coffee County,Alabama,51252
17,Colbert County,Alabama,54446
18,Conecuh County,Alabama,12981
19,Coosa County,Alabama,10966
20,Covington County,Alabama,37955
21,Crenshaw County,Alabama,14083
22,Cullman County,Alabama,80440
23,Dale County,Alabama,50444
24,Dallas County,Alabama,42864
25,DeKalb County,Alabama,71080
26,Elmore County,Alabama,80629
27,Escambia County,Alabama,37994
28,Etowah County,Alabama,104392
29,Fayette County,Alabama,16983
30,Franklin County,Alabama,31761
31,Geneva County,Alabama,26931
32,Greene County,Alabama,8876
33,Hale County,Alabama,15388
34,Henry County,Alabama,17287
35,Houston County,Alabama,103402
36,Jackson County,Alabama,53019
37,Jefferson County,Alabama,660009
38,Lamar County,Alabama,14259
39,Lauderdale County,Alabama,92542
40,Lawrence County,Alabama,33838
41,Lee County,Alabama,147257
42,Limestone County,Alabama,87654
43,Lowndes County,Alabama,10857
44,Macon County,Alabama,20535
45,Madison County,Alabama,343080
46,Marengo County,Alabama,20401
47,Marion County,Alabama,30327
48,Marshall County,Alabama,94776
49,Mobile County,Alabama,413936
50,Monroe County,Alabama,22602
51,Montgomery County,Alabama,230149
52,Morgan County,Alabama,120395
53,Perry County,Alabama,10181
54,Pickens County,Alabama,19405
55,Pike County,Alabama,33182
56,Randolph County,Alabama,22675
57,Russell County,Alabama,57820
58,St. Clair County,Alabama,85237
59,Shelby County,Alabama,200941
60,Sumter County,Alabama,13427
61,Talladega County,Alabama,81762
62,Tallapoosa County,Alabama,41168
63,Tuscaloosa County,Alabama,198596
64,Walker County,Alabama,66221
65,Washington County,Alabama,17109
66,Wilcox County,Alabama,11431
67,Winston County,Alabama,24108
68,Aleutians East Borough,Alaska,3161
69,Aleutians West Census Area,Alaska,5547
70,Municipality of Anchorage,Alaska,298610
71,Bethel Census Area,Alaska,17746
72,Bristol Bay Borough,Alaska,991
73,Denali Borough,Alaska,1875
74,Dillingham Census Area,Alaska,5034
75,Fairbanks North Star Borough,Alaska,100272
76,Haines Borough,Alaska,2552
77,Hoonah-Angoon Census Area,Alaska,2129
78,City and Borough Juneau,Alaska,32556
79,Kenai Peninsula Borough,Alaska,56900
80,Ketchikan Gateway Borough,Alaska,13779
81,Kodiak Island Borough,Alaska,14239
82,Lake and Peninsula Borough,Alaska,1654
83,Matanuska-Susitna Borough,Alaska,93925
84,Nome Census Area,Alaska,9915
85,North Slope Borough,Alaska,9643
86,Northwest Arctic Borough,Alaska,7810
87,Petersburg Census Area,Alaska,3844
88,Prince of Wales-Hyder Census Area,Alaska,5751
89,City and Borough of Sitka,Alaska,9046
90,Municipality of Skagway Borough,Alaska,959
91,Southeast Fairbanks Census Area,Alaska,7144
92,Valdez-Cordova Census Area,Alaska,9717
93,Wade Hampton Census Area,Alaska,7809
94,City and Borough of Wrangell,Alaska,2403
95,City and Borough of Yakutat,Alaska,668
96,Yukon-Koyukuk Census Area,Alaska,5770
97,Apache County,Arizona,73195
98,Cochise County,Arizona,132088
99,Coconino County,Arizona,136011
100,Gila County,Arizona,53144
101,Graham County,Arizona,37416
102,Greenlee County,Arizona,8802
103,La Paz County,Arizona,20281
104,Maricopa County,Arizona,3942169
105,Mohave County,Arizona,203334
106,Navajo County,Arizona,107094
107,Pima County,Arizona,992394
108,Pinal County,Arizona,387365
109,Santa Cruz County,Arizona,47303
110,Yavapai County,Arizona,212637
111,Yuma County,Arizona,200022
112,Arkansas County,Arkansas,18892
113,Ashley County,Arkansas,21524
114,Baxter County,Arkansas,41048
115,Benton County,Arkansas,232268
116,Boone County,Arkansas,37327
117,Bradley County,Arkansas,11397
118,Calhoun County,Arkansas,5307
119,Carroll County,Arkansas,27610
120,Chicot County,Arkansas,11433
121,Clark County,Arkansas,22936
122,Clay County,Arkansas,15684
123,Cleburne County,Arkansas,25808
124,Cleveland County,Arkansas,8627
125,Columbia County,Arkansas,24473
126,Conway County,Arkansas,21287
127,Craighead County,Arkansas,99735
128,Crawford County,Arkansas,61946
129,Crittenden County,Arkansas,50021
130,Cross County,Arkansas,17683
131,Dallas County,Arkansas,7987
132,Desha County,Arkansas,12545
133,Drew County,Arkansas,18743
134,Faulkner County,Arkansas,118704
135,Franklin County,Arkansas,18045
136,Fulton County,Arkansas,12318
137,Garland County,Arkansas,96903
138,Grant County,Arkansas,17986
139,Greene County,Arkansas,43163
140,Hempstead County,Arkansas,22373
141,Hot Spring County,Arkansas,33394
142,Howard County,Arkansas,13735
143,Independence County,Arkansas,37025
144,Izard County,Arkansas,13474
145,Jackson County,Arkansas,17600
146,Jefferson County,Arkansas,74723
147,Johnson County,Arkansas,25901
148,Lafayette County,Arkansas,7447
149,Lawrence County,Arkansas,17012
150,Lee County,Arkansas,10216
151,Lincoln County,Arkansas,14101
152,Little River County,Arkansas,12919
153,Logan County,Arkansas,21983
154,Lonoke County,Arkansas,69839
155,Madison County,Arkansas,15645
156,Marion County,Arkansas,16568
157,Miller County,Arkansas,43634
158,Mississippi County,Arkansas,45562
159,Monroe County,Arkansas,7828
160,Montgomery County,Arkansas,9340
161,Nevada County,Arkansas,8925
162,Newton County,Arkansas,8086
163,Ouachita County,Arkansas,25396
164,Perry County,Arkansas,10339
165,Phillips County,Arkansas,20784
166,Pike County,Arkansas,11247
167,Poinsett County,Arkansas,24307
168,Polk County,Arkansas,20471
169,Pope County,Arkansas,62765
170,Prairie County,Arkansas,8458
171,Pulaski County,Arkansas,388953
172,Randolph County,Arkansas,17930
173,St. Francis County,Arkansas,27858
174,Saline County,Arkansas,111845
175,Scott County,Arkansas,11010
176,Searcy County,Arkansas,8007
177,Sebastian County,Arkansas,127304
